term,base_term,type
blood clotting,blood clotting,event
cell communication,cell communication,event
blood vessel,blood vessel,entity
tissue factor,tissue factor,entity
factor,factor,entity
platelets,platelet,entity
smooth muscle cells,Smooth muscle cell,entity
clotting factors,clotting factor,entity
intercellular,intercellular,entity
intercellular junctions,intercellular junction,entity
fungal cells,fungal cell,entity
plasmodesmata,Plasmodesmata,entity
junctions,junction,entity
animal cell contacts,animal cell contact,entity
vascular tissues,vascular tissue,entity
xylem,xylem,entity
phloem,phloem,entity
plasmodesma,plasmodesma,entity
channels,channel,entity
channel,channel,entity
plant cells side,plant cell side,entity
tight,tight,entity
claudins,claudin,entity
occludins,occludin,entity
connections,connection,entity
tight junction adherence,tight junction adherence,entity
tight adherence,tight adherence,entity
epithelial tissues,epithelial tissue,entity
internal organs,internal organ,entity
epithelial cells,epithelial cell,entity
urinary bladder,urinary bladder,entity
spot welds,spot weld,entity
spot weld,spot weld,entity
cadherins,Cadherins,entity
protein pores,protein pore,entity
connexins,connexin,entity
donut,donut,entity
connexon,connexon,entity
doughnut holes,doughnut hole,entity
cells forms,cell form,entity
electrical signal,electrical signal,entity
heart muscle cells,heart muscle cell,entity
virtual microscopy,virtual microscopy,entity
